Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
12H11	100.0	0.17	Neural Network (Specific Model)	11	0.886	812908	329.62551850008293	6715230	0.62	6027	13	1541941	None
14B11	99.25	0.22	Neural Network (Specific Model)	11	0.854	176802	313.26095519448546	6696269	0.63	6093	109	626007	None
14B2	96.65	0.73	Neural Network (Specific Model)	11	0.857	227607	317.9747963731366	7226270	0.62	6507	93	671675	None
14D6	100.0	0.4	Neural Network (Specific Model)	11	0.891	804063	333.4064248042193	7012595	0.62	6257	18	2652642	None
15D11	100.0	0.45	Neural Network (Specific Model)	11	0.912	376948	336.49266975308643	5726905	0.63	5184	52	552889	None
15G2	93.45	0.1	Neural Network (Specific Model)	11	0.795	392228	275.93543451652386	6785418	0.62	6536	78	795711	None
15H3	100.0	0.17	Neural Network (Specific Model)	11	0.886	812763	329.6307232913072	6716467	0.62	6028	14	1052737	None
1B1	100.0	0.59	Neural Network (Specific Model)	11	0.893	1055307	326.92106499608457	7006377	0.64	6385	234	1754668	None
1C5	100.0	0.47	Neural Network (Specific Model)	11	0.891	895849	333.6774297707459	6948607	0.63	6194	18	1268163	None
24D3	100.0	0.06	Neural Network (Specific Model)	11	0.88	390452	330.60724331926866	6401674	0.59	5688	32	979771	None
28B5	100.0	0.06	Neural Network (Specific Model)	11	0.881	933317	332.81865192582023	6348319	0.59	5608	16	1445444	None
29G9	97.53	0.91	Neural Network (Specific Model)	11	0.868	384154	320.20808116767535	6204069	0.6	5618	92	1362540	None
2F9	100.0	0.26	Neural Network (Specific Model)	11	0.885	569994	334.76701030927836	6594226	0.59	5820	33	923415	None
36B3	100.0	0.12	Neural Network (Specific Model)	11	0.88	709123	331.55095956772874	6061412	0.6	5367	112	1139525	None
36B7	99.97	12.7	Neural Network (Specific Model)	11	0.889	674219	343.08228980322	7113647	0.61	6149	28	2284372	None
36C6	100.0	10.37	Neural Network (Specific Model)	11	0.871	374335	322.9174340085942	7235500	0.59	6516	44	1421354	None
36C8	100.0	10.56	Neural Network (Specific Model)	11	0.904	498500	332.9140241909121	6745893	0.6	6118	21	830223	None
36D4	100.0	2.03	Neural Network (Specific Model)	11	0.884	389831	336.97080411025934	6998324	0.61	6131	128	790800	None
36F3	100.0	0.98	Neural Network (Specific Model)	11	0.882	500882	310.64049854321786	6521700	0.6	6178	509	935289	None
36G2	100.0	0.13	Neural Network (Specific Model)	11	0.878	355616	321.0831566932986	6719479	0.59	6133	366	645748	None
37A10	100.0	0.0	Neural Network (Specific Model)	11	0.881	201932	332.55334793491863	7231354	0.6	6392	61	532112	None
37D10	100.0	0.18	Neural Network (Specific Model)	11	0.877	251943	318.37549818055794	6272316	0.59	5771	55	435627	None
38D4	100.0	0.61	Neural Network (Specific Model)	11	0.881	267574	313.48526315789474	7085859	0.59	6650	199	660812	None
38D7	100.0	2.33	Neural Network (Specific Model)	11	0.883	613277	306.10948787927435	6467184	0.59	6229	485	1362246	None
38F7	100.0	0.13	Neural Network (Specific Model)	11	0.878	311411	334.01869606903165	7135144	0.6	6258	46	713033	None
38G2	100.0	0.17	Neural Network (Specific Model)	11	0.887	950360	329.5863726790451	6719051	0.62	6032	15	1611114	None
39A2	100.0	3.07	Neural Network (Specific Model)	11	0.878	361468	326.4565422026985	7099701	0.6	6374	273	799410	None
48B8	100.0	0.29	Neural Network (Specific Model)	11	0.88	1003353	328.677044766072	6652158	0.63	5942	97	1636227	None
48C10	100.0	0.35	Neural Network (Specific Model)	11	0.877	462193	325.95543883429343	6568848	0.59	5902	52	949165	None
48D1	100.0	0.18	Neural Network (Specific Model)	11	0.881	738100	334.4116690751445	6294190	0.6	5536	19	1079514	None
48G9	99.43	0.16	Neural Network (Specific Model)	11	0.85	270388	312.61301539990063	6651999	0.63	6039	93	533295	None
48H11	100.0	0.11	Neural Network (Specific Model)	11	0.878	407427	329.5424111340982	5976355	0.59	5317	36	707154	None
88A6	100.0	0.01	Neural Network (Specific Model)	11	0.895	762467	331.96773591943304	5958491	0.6	5362	18	1414067	None
89F1	100.0	0.84	Neural Network (Specific Model)	11	0.882	699566	320.74652269399706	5950989	0.6	5464	240	832003	None
90D7A	100.0	0.59	Neural Network (Specific Model)	11	0.879	699566	322.47630462843443	5961813	0.6	5423	246	832050	None
90F12-1	100.0	0.01	Neural Network (Specific Model)	11	0.895	400939	331.42907669396874	5959528	0.6	5372	26	1196682	None
90F12-2	100.0	0.03	Neural Network (Specific Model)	11	0.884	699488	330.6982429335371	5869663	0.6	5236	18	831983	None
93F8	100.0	3.6	Neural Network (Specific Model)	11	0.884	409550	332.9616154873164	6762461	0.61	5992	36	721678	None
94G2	100.0	1.0	Neural Network (Specific Model)	11	0.875	177959	296.6100015725743	6454846	0.59	6359	857	814182	None
Clinton	100.0	0.43	Neural Network (Specific Model)	11	0.891	3909370	326.8340757238307	6910241	0.63	6286	144	3909370	None
Darke	100.0	0.3	Neural Network (Specific Model)	11	0.892	1707087	329.7018473895582	6896989	0.64	6225	91	1780159	None
Delaware	100.0	1.99	Neural Network (Specific Model)	11	0.882	319987	328.4685919399576	6837697	0.61	6129	226	1342973	None
Wayne	100.0	0.59	Neural Network (Specific Model)	11	0.891	3909718	324.55837403497713	6929928	0.63	6347	203	3909718	None
Wood1	100.0	0.22	Neural Network (Specific Model)	11	0.881	380513	329.8071895424837	6861595	0.61	6120	187	1380741	None
Wood3	99.99	0.83	Neural Network (Specific Model)	11	0.885	487201	320.33915724563207	6334305	0.62	5838	433	873468	None
